object_id,gmted_drainage_density_without_1,srtm_filled_dem,GCN250_ARCIII_average,Inundation,sum,assam_dist_from_major_rivers_updated_3857,strm_filled_slope_degrees,ndvi,assam_soil_silt,assam_soil_loamysand,assam_soil_rocky,assam_lith_neogene,assam_lith_paleogene,assam_lith_paleozoic,assam_lith_quaternary,assam_lith_tertiary,assam_lith_undevelopedprecambrian,assam_lith_water,landuse_rangeland,landuse_vegetation,landuse_water,ind_ppp_UNadj,aged,young,percaay,deprived,nophone,noSanitation,nodrinkingWater,totLivestock,proximity_hosptial_rd,proximity_embankment_rd,proximity_rail_rd,proximity_local_rd,proximity_arterial_rd,ndbi,population_affected,crop_area_affected,human_lives_lost,roads_dam,bridges_dam,embankment_total,Count_Roads_Bridges_Embankments,Sum_Roads_Bridges_Embankments,Count_Erosion,Sum_Erosion,Count_IM,Sum_IM,Count_new_const,Sum_new_const,Count_repair_rest_imp,Sum_repair_rest_imp,Count_relief_preparation,Sum_relief_preparation,Count_goods,Sum_goods,Count_Total,Sum_Total,Count_SDRF,Sum_SDRF,Count_SOPD,Sum_SOPD,Count_CIDF,Sum_CIDF,Count_LTIF,Sum_LTIF,Count_RIDF,Sum_RIDF
101,0.0005436853714,81.64575917,88.61970625,0.09305902032,3013.54263,14348.23146,88.88921359,0.7294981526,0,1,0,0,0,0,1,0,0,0,0,1,0,2587,5,240,18,207,971,775,284,2097,7584.942998,5.05E-05,13488.21423,1963.045649,9528.743157,0.5124275514,57728,1319.9,1,149,40,33,32,536234880,10,120705127,31,324150064,18,387070277,41,398928268,0,0,0,0,67,946747489,11,79275254,11,119498460,0,0,0,0,1,9930656
102,0.0006426100281,47.99769798,89.13284686,0.09285329514,2816.096338,23043.78834,88.55045412,0.7000846195,0,1,0,0,0,0,1,0,0,0,0,1,0,475,0,24,1,105,124,129,34,341,2715.881685,4.51E-05,3494.382288,293.3083423,3680.981421,0.5373932095,17767,698.5,0,108,39,33,15,164405953,5,199558714,8,125010694,14,228236860,11,166798342,0,0,0,0,26,440115556,7,110011216,6,57529055,0,0,0,0,1,12771228
103,0.0006515915277,55.38518997,89.74057754,0.2594550117,2860.801365,32052.14892,89.03657815,0.677208241,0,1,0,0,0,0,1,0,0,0,0,1,0,1516,11,194,80,167,458,430,211,1201,2152.033655,0.0003279621276,4679.909565,261.9333012,2863.684618,0.5681894229,30261,2722.05,3,96,39,33,23,128222681,7,112623666,17,169023251,17,79470274,19,169971140,0,0,0,0,42,368844995,6,49024603,13,67508469,0,0,0,0,2,25812326
104,0.00051579388,106.7883074,88.33284597,0.08173420364,2933.143838,38222.61632,89.23811252,0.7414106329,0,1,0,0,0,0,1,0,0,0,0,1,0,2692,51,272,86,117,751,720,267,2128,7434.705866,0.000226457888,18282.19798,1788.708681,3668.893694,0.5130881678,98730,3885.83,2,111,40,33,75,1197821390,15,766760511,29,286253950,57,1114737805,39,530860057,0,0,0,0,110,2173975415,16,146858151,33,661589280,0,0,0,0,6,178490808
105,0.0005372917332,49.0240693,88.15258066,0.1901968998,2603.118901,13884.24988,88.3776797,0.7284124041,0,0,0,0,0,0,1,0,0,0,0,1,0,862,6,87,22,27,409,237,78,621,4932.122797,3.82E-05,3446.996948,451.7029915,7286.672046,0.5132691182,134973,3231.63,1,106,51,34,3,11677121,0,0,5,43876673,0,0,6,45876673,0,0,0,0,6,45876673,4,33676673,1,2000000,0,0,0,0,0,0
106,0.0005778218499,42.92516078,88.42040846,0.1495577277,2646.484254,5421.895308,88.58114248,0.7143227594,0,1,0,0,0,0,1,0,0,0,0,1,0,380,0,53,4,36,173,114,48,312,5974.53518,4.13E-05,4657.862327,302.7012007,3257.911604,0.5097028149,0,0,0,96,39,33,1,1758136,0,0,1,14988965,1,1758136,0,0,0,0,0,0,2,16747101,0,0,0,0,0,0,0,0,0,0
107,0.0005203741492,42.04030207,88.35582983,0.7838361904,2613.550928,10168.17332,88.08721608,0.7154744334,0,1,0,0,0,0,1,0,0,0,0,1,0,665,2,100,34,47,284,186,84,521,3863.904539,5.27E-05,4936.390632,354.2301414,6170.69136,0.5032509715,0,0,0,96,39,33,6,35610919,1,3500000,4,26250897,3,21856646,6,31753341,0,0,0,0,10,61021987,3,20338897,4,27211364,0,0,0,0,0,0
108,0.000518246367,94.5798576,87.87846992,0.298942669,2420.757781,15348.42816,88.16532527,0.7538960462,0,0,0,0,0,0,1,0,0,0,0,1,0,810,26,114,63,25,257,273,123,669,5289.563429,9.73E-05,7192.26862,584.5846181,4883.391688,0.4783540187,0,0,0,96,39,33,9,68778808,3,34492065,2,42999570,8,43779176,2,42999570,0,0,0,0,13,121270811,1,24999632,2,13767660,0,0,0,0,2,19876238
109,0.0006447406374,31.82918943,90.90207484,0.6390937395,2281.265156,3989.830812,79.18043686,0.5966608587,0,0,1,0,0,0,1,0,0,0,0,1,0,1364,54,194,133,184,698,537,1,1925,3474.368031,0.0001080121729,7240.089335,1035.301029,6800.184036,0.5058941332,0,0,0,126,16,2,3,37163106,0,0,1,7134964,1,14850142,2,22312964,0,0,0,0,3,37163106,1,7134964,2,30028142,0,0,0,0,0,0
110,0.0006897871777,33.57388447,90.26834577,0.1054323971,3059.32141,7079.44182,85.89572137,0.6364422688,0,1,0,0,0,0,1,0,0,0,0,1,0,1357,0,200,173,265,583,513,0,1954,3577.741526,3.33E-05,2961.630904,282.9061924,2707.591933,0.5192286275,1190,2646.5,2,136,16,2,13,148892055,0,0,6,30485601,3,90738000,10,58154055,0,0,0,0,13,148892055,6,30485601,7,118406454,0,0,0,0,0,0
111,0.0006671176347,31.57416673,90.00112986,0.5675311162,2487.050267,3060.438,87.95546434,0.6534874713,0,1,0,0,0,0,1,0,0,0,0,1,0,1257,5,180,151,321,564,502,2,1839,2595.755924,6.39E-05,3979.556994,240.0341143,1948.956471,0.52434347,1179,3851,0,149,16,2,12,106270377,1,12326241,2,15134348,5,55188304,7,51082073,0,0,0,0,13,118596618,2,15134348,10,91136029,0,0,0,0,1,12326241
112,0.0006681245992,29.51550498,90.58396834,0.5005691577,2085.122368,3265.090994,83.39909394,0.6015256851,0,1,0,0,0,0,1,0,0,0,0,1,0,3088,147,453,283,505,1386,1183,23,4272,3197.444794,0.0001827077213,6549.910454,831.4721838,4667.91398,0.5316776343,522666,3794,2,160,28,2,29,820879735,7,332323066,21,697031223,2,20118843,28,826194120,0,0,0,0,41,1335198351,21,697031223,12,440980163,0,0,0,0,7,188886965
113,0.0006353356674,37.67501643,89.84620354,0.6137646244,2323.480486,10919.44418,88.63814465,0.6673550796,0,1,0,0,0,0,1,0,0,0,0,1,0,2470,80,364,249,370,995,971,6,3549,2820.312953,6.97E-05,4380.059684,236.9757967,2833.852008,0.5317741236,393059,9501.4,5,177,16,2,24,303066527,2,19802652,15,115457763,2,124483100,26,214013358,0,0,0,0,30,358299110,15,115457763,12,106537595,0,0,0,0,3,136303752
